frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R
1,0.5090838074684143,0.6768432259559631,0.5072628855705261,0.652349591255188,0.5033798217773438,0.6438059210777283,0.4988827407360077,0.6483793258666992,0.49690988659858704,0.6572046279907227,0.4888930916786194,0.6630351543426514,0.4915235936641693,0.6728677749633789,0.5009700059890747,0.6786580681800842,0.5092241764068604,0.6806018948554993,0.48639199137687683,0.6829134821891785,0.4897581934928894,0.6944904327392578,0.502265453338623,0.698563814163208,0.5145856142044067,0.698760986328125,0.4851451516151428,0.6996966600418091,0.4891323447227478,0.7100574970245361,0.5017121434211731,0.710124135017395,0.512836217880249,0.7083303928375244,0.48470431566238403,0.7133011817932129,0.48750999569892883,0.7223637700080872,0.4969569146633148,0.7189333438873291,0.5049294829368591,0.7148171067237854,0.454258531332016,0.6649582982063293,0.468484491109848,0.6496245265007019,0.4821520149707794,0.6498916149139404,0.4944722354412079,0.6556548476219177,0.5047720074653625,0.6576004028320312,0.48273569345474243,0.683397650718689,0.5011127591133118,0.694434642791748,0.5112223029136658,0.6989644169807434,0.5186601877212524,0.7012594938278198,0.4782964587211609,0.7003153562545776,0.49853309988975525,0.7107681632041931,0.509710431098938,0.7130466103553772,0.5173893570899963,0.7129554152488708,0.47417595982551575,0.7102954387664795,0.49230703711509705,0.7209796905517578,0.5025866031646729,0.7217336297035217,0.5094567537307739,0.7193993330001831,0.47059956192970276,0.7145408391952515,0.48524051904678345,0.7232391834259033,0.49335116147994995,0.7225944399833679,0.49897876381874084,0.7192508578300476
2,0.4984877109527588,0.6827905774116516,0.49839919805526733,0.661659300327301,0.49840047955513,0.649927020072937,0.49883702397346497,0.6528447270393372,0.5003408193588257,0.6621827483177185,0.4871314465999603,0.6705593466758728,0.4925254285335541,0.6754818558692932,0.5012547969818115,0.6793819069862366,0.5079242587089539,0.6814842224121094,0.48492327332496643,0.6897401809692383,0.4946350157260895,0.6970058083534241,0.5064523220062256,0.7018150687217712,0.5167692303657532,0.7040929794311523,0.4854355454444885,0.7042770385742188,0.4950014352798462,0.7089728116989136,0.505672812461853,0.7099197506904602,0.5144959092140198,0.7093777656555176,0.48714056611061096,0.7150580883026123,0.4943196177482605,0.719140887260437,0.5023620128631592,0.7163402438163757,0.5088346004486084,0.7121159434318542,0.454534649848938,0.664938747882843,0.46843746304512024,0.6491091847419739,0.48189595341682434,0.649284839630127,0.4942546486854553,0.6565566062927246,0.5048359036445618,0.6607803702354431,0.4821024239063263,0.6826037764549255,0.5001606345176697,0.6941215395927429,0.5103813409805298,0.6983110904693604,0.5180160403251648,0.7005254626274109,0.47786304354667664,0.700377345085144,0.49822795391082764,0.7114875912666321,0.5098373293876648,0.7137912511825562,0.5178941488265991,0.7139018774032593,0.47420334815979004,0.7108938694000244,0.49262920022010803,0.7216739654541016,0.5031957030296326,0.7222955226898193,0.5105246305465698,0.7198306322097778,0.4713066518306732,0.7152637839317322,0.48598089814186096,0.723656415939331,0.4943696856498718,0.7228651642799377,0.5002588033676147,0.7190470695495605
3,0.4940285086631775,0.6869202852249146,0.4949086904525757,0.6664208173751831,0.4964222311973572,0.654870867729187,0.4990108609199524,0.6554998159408569,0.5023870468139648,0.6604974269866943,0.48599928617477417,0.6734466552734375,0.49308380484580994,0.6776338815689087,0.5022457838058472,0.6829621195793152,0.5092960596084595,0.6862205266952515,0.4841564893722534,0.6908515095710754,0.4951472282409668,0.6983914971351624,0.506864070892334,0.7034987807273865,0.5161916017532349,0.7050940990447998,0.4846991002559662,0.7043260335922241,0.4951625168323517,0.7106122970581055,0.5064225196838379,0.7122896313667297,0.5156190991401672,0.7116223573684692,0.4869054853916168,0.7147181630134583,0.49438488483428955,0.7182657122612,0.5025001168251038,0.7167662382125854,0.5094537138938904,0.7138891816139221,0.45472460985183716,0.665663480758667,0.4682495892047882,0.6492112874984741,0.48176971077919006,0.6493013501167297,0.4941471815109253,0.6568107604980469,0.5047075152397156,0.6604748368263245,0.4822857677936554,0.682387113571167,0.5006972551345825,0.6939088106155396,0.5108436942100525,0.697830080986023,0.5183927416801453,0.6998337507247925,0.47808268666267395,0.7004008293151855,0.4987298846244812,0.7107416987419128,0.510275661945343,0.7129274606704712,0.5183488130569458,0.7132129073143005,0.47440361976623535,0.7111631631851196,0.49306562542915344,0.7213247418403625,0.5036969184875488,0.7221410274505615,0.5112166404724121,0.7199997901916504,0.47152388095855713,0.7156781554222107,0.486434668302536,0.7238511443138123,0.4948866665363312,0.7233773469924927,0.5008975863456726,0.7199460864067078
4,0.4939510226249695,0.6908448934555054,0.4947636127471924,0.6728231310844421,0.49623483419418335,0.6610942482948303,0.4992658793926239,0.6579952239990234,0.5019652247428894,0.6587420701980591,0.484345942735672,0.6772493124008179,0.4923842251300812,0.6777410507202148,0.5024228096008301,0.6814532279968262,0.5104424953460693,0.6836442351341248,0.4827113747596741,0.6937242150306702,0.4956909716129303,0.6989805102348328,0.507464587688446,0.7031752467155457,0.5171645283699036,0.7048500180244446,0.483728289604187,0.7065415382385254,0.4960384964942932,0.7110061049461365,0.5070000290870667,0.7123420834541321,0.515830934047699,0.7119094729423523,0.48631197214126587,0.7165423631668091,0.4940643310546875,0.7187581658363342,0.5020487308502197,0.7176547050476074,0.5084959268569946,0.715553343296051,0.4547945559024811,0.6656197905540466,0.4681203067302704,0.6491944193840027,0.48172539472579956,0.6495496034622192,0.4941677749156952,0.6568179726600647,0.5045972466468811,0.6595435738563538,0.48228928446769714,0.6821866035461426,0.500760555267334,0.6936377882957458,0.510846734046936,0.6978119611740112,0.5183231830596924,0.7001782059669495,0.478024423122406,0.7001903653144836,0.49865615367889404,0.710591733455658,0.5101234316825867,0.7128373384475708,0.5180631279945374,0.7131902575492859,0.474299818277359,0.7110626101493835,0.4929497539997101,0.7213347554206848,0.5035801529884338,0.7221553325653076,0.5110644102096558,0.7200180888175964,0.471420556306839,0.7156633734703064,0.4863136112689972,0.7238487601280212,0.49475693702697754,0.7232831120491028,0.5006991028785706,0.719758152961731
5,0.5121736526489258,0.6773168444633484,0.5085833668708801,0.6524206399917603,0.503156840801239,0.6433588862419128,0.49747195839881897,0.6489498615264893,0.49510496854782104,0.6580873131752014,0.48995769023895264,0.6657006740570068,0.4910038411617279,0.6741089224815369,0.5005429983139038,0.6783942580223083,0.5093340277671814,0.6795163750648499,0.4877205789089203,0.6860560774803162,0.48999983072280884,0.6961642503738403,0.5028434991836548,0.6992059350013733,0.5157185196876526,0.6987694501876831,0.48663800954818726,0.7032270431518555,0.4896904528141022,0.7116081714630127,0.5024774670600891,0.7109220027923584,0.5139686465263367,0.7087950110435486,0.4862597584724426,0.7172220945358276,0.48789170384407043,0.7246773838996887,0.4969593584537506,0.7207079529762268,0.5048300623893738,0.7168731689453125,0.4549221992492676,0.665820300579071,0.46796783804893494,0.6489474177360535,0.4815007150173187,0.6491637229919434,0.49389174580574036,0.656730055809021,0.5043982863426208,0.6593126654624939,0.48245981335639954,0.6816046237945557,0.5011050701141357,0.693078339099884,0.5111916661262512,0.6968744397163391,0.5186516642570496,0.6988052129745483,0.47815409302711487,0.6997414231300354,0.49892139434814453,0.7102423310279846,0.5103395581245422,0.7123293280601501,0.518158495426178,0.7125334739685059,0.4742633104324341,0.7107452154159546,0.4930954575538635,0.7211815714836121,0.5036836266517639,0.7219520211219788,0.5110903978347778,0.7198322415351868,0.47118160128593445,0.7154579758644104,0.4861619770526886,0.7238368391990662,0.4946359097957611,0.7234327793121338,0.5005831718444824,0.7201502323150635
6,0.5034307241439819,0.6843828558921814,0.5028432011604309,0.6611199378967285,0.5007315874099731,0.6494591236114502,0.4986328184604645,0.6537569761276245,0.49782341718673706,0.6622771620750427,0.48854658007621765,0.668474018573761,0.49296143651008606,0.6736871600151062,0.5020438432693481,0.6788836121559143,0.5091196298599243,0.681839108467102,0.48603302240371704,0.6880418658256531,0.4943116009235382,0.6950112581253052,0.5065494775772095,0.7005584836006165,0.5173226594924927,0.7025236487388611,0.48647958040237427,0.703173816204071,0.49478718638420105,0.7080907225608826,0.5065348744392395,0.7095932960510254,0.5161263942718506,0.7090613842010498,0.4880879521369934,0.714820384979248,0.49469950795173645,0.7187817692756653,0.5035041570663452,0.7159184813499451,0.510627806186676,0.7119584083557129,0.4548015892505646,0.6659544706344604,0.4678446650505066,0.6492763161659241,0.48138701915740967,0.6495460867881775,0.4938630163669586,0.6569819450378418,0.5044438242912292,0.659201443195343,0.4824897348880768,0.6816465258598328,0.500958263874054,0.6930069327354431,0.5109491348266602,0.6969258189201355,0.5183669924736023,0.6990771889686584,0.4781621992588043,0.6997236609458923,0.4987652897834778,0.7105502486228943,0.5101325511932373,0.7128216028213501,0.5179542303085327,0.7132121920585632,0.47424745559692383,0.7107043266296387,0.4929078221321106,0.721427321434021,0.5034357905387878,0.7223392724990845,0.5108205676078796,0.7203947901725769,0.471089631319046,0.7154704928398132,0.48585209250450134,0.7239192128181458,0.4942034184932709,0.7235063910484314,0.50006502866745,0.7203134894371033
7,0.4954870641231537,0.6861137747764587,0.4969007968902588,0.6664000153541565,0.49835219979286194,0.6569390892982483,0.49938857555389404,0.6569043397903442,0.5001584887504578,0.6608846783638,0.48771291971206665,0.6729112267494202,0.4948210120201111,0.6787042021751404,0.5038935542106628,0.682826578617096,0.5111554861068726,0.6848645210266113,0.48514556884765625,0.6898193955421448,0.4960682988166809,0.6973661780357361,0.5075880289077759,0.701481282711029,0.5169304013252258,0.7029018402099609,0.48518410325050354,0.703078031539917,0.49559611082077026,0.7091988325119019,0.506320059299469,0.7107769250869751,0.5148800611495972,0.7104586958885193,0.48639580607414246,0.7138534784317017,0.4938173294067383,0.7182146906852722,0.5020773410797119,0.7167543768882751,0.5088253021240234,0.7138860821723938,0.45492133498191833,0.6657127141952515,0.46806588768959045,0.6491590142250061,0.4817277789115906,0.6494749188423157,0.49431392550468445,0.6567211151123047,0.5050413012504578,0.65871262550354,0.48281577229499817,0.6819804310798645,0.5012472867965698,0.6932274103164673,0.5111384391784668,0.6968815326690674,0.5185139775276184,0.6987832188606262,0.4783279597759247,0.6998901963233948,0.49886777997016907,0.7104713916778564,0.5099971890449524,0.7126710414886475,0.5177050828933716,0.7128655910491943,0.4742080271244049,0.7108297348022461,0.4929600954055786,0.7215194702148438,0.5033127665519714,0.7224199175834656,0.5106468796730042,0.7204747200012207,0.4708109498023987,0.7156389355659485,0.48568156361579895,0.7241000533103943,0.49396076798439026,0.7237784266471863,0.49977341294288635,0.7207948565483093
8,0.5044471621513367,0.6814715266227722,0.5034375786781311,0.6544312238693237,0.5010775923728943,0.6436627507209778,0.4974031448364258,0.6478211283683777,0.4958091080188751,0.6561468839645386,0.49040624499320984,0.665239155292511,0.4926769435405731,0.6712973117828369,0.5012319087982178,0.674139142036438,0.5092472434043884,0.6744204759597778,0.488252192735672,0.6858074069023132,0.49189743399620056,0.6947574019432068,0.5037654638290405,0.6973404884338379,0.5159737467765808,0.6967504024505615,0.48655226826667786,0.7034741044044495,0.491020143032074,0.7112154960632324,0.5029726624488831,0.7103767395019531,0.5142099857330322,0.7083143591880798,0.4851486086845398,0.7183080911636353,0.4884735643863678,0.7250588536262512,0.49741166830062866,0.7211305499076843,0.5053751468658447,0.7175227403640747,0.45490172505378723,0.665826141834259,0.4679928421974182,0.6491028070449829,0.4815477430820465,0.6494146585464478,0.49398332834243774,0.6569183468818665,0.5045703649520874,0.6594387292861938,0.48262742161750793,0.6816892027854919,0.5009938478469849,0.6931942105293274,0.5108800530433655,0.6970534324645996,0.5182899236679077,0.6991835832595825,0.4781985282897949,0.6995906233787537,0.49874478578567505,0.7104633450508118,0.5099030137062073,0.7128294706344604,0.5176318287849426,0.7133247256278992,0.4741745591163635,0.7105813026428223,0.4928639233112335,0.7214264273643494,0.5032057762145996,0.7223799228668213,0.5105409026145935,0.7204909324645996,0.47093603014945984,0.7155264019966125,0.48565056920051575,0.7241073250770569,0.4938727915287018,0.7237522602081299,0.4996723532676697,0.7206284999847412
9,0.49839890003204346,0.6831697225570679,0.49860456585884094,0.6605994701385498,0.4986910820007324,0.648668110370636,0.49898549914360046,0.6519787311553955,0.4997371435165405,0.6617882251739502,0.485157310962677,0.6685563921928406,0.492384672164917,0.6751105189323425,0.5020340085029602,0.6805052161216736,0.5095338225364685,0.6836594343185425,0.48215237259864807,0.6884702444076538,0.4945864677429199,0.6963867545127869,0.5073834657669067,0.7017748355865479,0.518437922000885,0.7035180330276489,0.482910692691803,0.7036776542663574,0.4946866035461426,0.7104176878929138,0.5066459774971008,0.7122140526771545,0.5162681341171265,0.7114598751068115,0.48506131768226624,0.7155344486236572,0.49433574080467224,0.722090482711792,0.503670871257782,0.7193393707275391,0.5110000371932983,0.7143471837043762,0.45483070611953735,0.6661868691444397,0.4679936170578003,0.6492713093757629,0.4814985394477844,0.6493907570838928,0.4939778745174408,0.6569522619247437,0.5047613382339478,0.6594753861427307,0.4824453592300415,0.6816639304161072,0.5008344650268555,0.6933778524398804,0.5107139945030212,0.6972869038581848,0.5181830525398254,0.6994788646697998,0.4781169593334198,0.6996451616287231,0.498651385307312,0.7105221152305603,0.5098208785057068,0.7128207087516785,0.517614483833313,0.7132335901260376,0.474250465631485,0.7107399702072144,0.49289077520370483,0.7215911149978638,0.5032399892807007,0.7225046753883362,0.510625422000885,0.7205567359924316,0.47113755345344543,0.715705156326294,0.4858657419681549,0.7242734432220459,0.49413296580314636,0.7240357398986816,0.5000234842300415,0.7210690379142761
10,0.49335965514183044,0.6848375201225281,0.4946182668209076,0.6649861931800842,0.49664080142974854,0.6540318131446838,0.4996604323387146,0.6550995111465454,0.5018951296806335,0.661462664604187,0.48384082317352295,0.6695842146873474,0.49234163761138916,0.6754754781723022,0.5019094347953796,0.6813029646873474,0.5093209147453308,0.6847860813140869,0.48111093044281006,0.6879263520240784,0.4936122000217438,0.696996808052063,0.5063025951385498,0.7026342749595642,0.5168317556381226,0.7041927576065063,0.4815303087234497,0.7029104232788086,0.4938981235027313,0.7114207744598389,0.5060599446296692,0.7135515213012695,0.515765368938446,0.712932825088501,0.48353445529937744,0.7151678800582886,0.49250534176826477,0.7215255498886108,0.5015556812286377,0.7195940017700195,0.509080171585083,0.7157660722732544,0.45484796166419983,0.6661871671676636,0.4679694175720215,0.6497374773025513,0.4815523624420166,0.6497440934181213,0.49404406547546387,0.6571140885353088,0.504721462726593,0.6600940823554993,0.48253604769706726,0.6815617680549622,0.5008843541145325,0.693515956401825,0.5107560753822327,0.6976950168609619,0.5182114839553833,0.7000943422317505,0.4780574440956116,0.6993368268013,0.49853357672691345,0.7104682922363281,0.5096451044082642,0.7129647135734558,0.5173702836036682,0.7135235071182251,0.4740021526813507,0.7104272246360779,0.49267125129699707,0.7215958833694458,0.5029715299606323,0.7227111458778381,0.5102894306182861,0.7208969593048096,0.47068721055984497,0.715499758720398,0.4853701591491699,0.7245261669158936,0.4935727119445801,0.724333643913269,0.4994182586669922,0.7213937044143677
