frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R
1,0.488774836063385,0.6829339265823364,0.498063862323761,0.6734234094619751,0.5030688643455505,0.6761986613273621,0.5071023106575012,0.6859566569328308,0.5122154951095581,0.6968609690666199,0.4919489622116089,0.6845169067382812,0.503860354423523,0.705676257610321,0.5148171186447144,0.7210903167724609,0.5228543281555176,0.7319084405899048,0.4863293170928955,0.6973376870155334,0.4981862008571625,0.7176438570022583,0.5100168585777283,0.7346922755241394,0.5217113494873047,0.7436931133270264,0.4813212752342224,0.7093473076820374,0.4913378953933716,0.7279857397079468,0.5025778412818909,0.7429124712944031,0.5127364993095398,0.7510053515434265,0.4772258996963501,0.7194451689720154,0.4795503616333008,0.7355281114578247,0.48129236698150635,0.7494071125984192,0.48399099707603455,0.7592833042144775,0.46172457933425903,0.677800714969635,0.4775834083557129,0.6667329668998718,0.49209436774253845,0.6665524840354919,0.5048586130142212,0.6721703410148621,0.5155529379844666,0.6764854192733765,0.4927472472190857,0.7016122937202454,0.5094231963157654,0.7161158919334412,0.5183654427528381,0.7245368361473083,0.524720311164856,0.7304737567901611,0.4877217710018158,0.7170001268386841,0.5056009292602539,0.7319729924201965,0.5159447193145752,0.7390251159667969,0.5236527919769287,0.7423420548439026,0.4827749729156494,0.7280800342559814,0.49859336018562317,0.743998646736145,0.5087164640426636,0.7504812479019165,0.5167087912559509,0.752790093421936,0.4782854914665222,0.7352868914604187,0.49012184143066406,0.7514153122901917,0.49820476770401,0.7569187879562378,0.5052490234375,0.7595863938331604
2,0.5105527639389038,0.6871675848960876,0.5111119151115417,0.6773856282234192,0.5097660422325134,0.6778247356414795,0.5050331354141235,0.6880291104316711,0.5001434683799744,0.6976892948150635,0.4931556284427643,0.6929881572723389,0.501194417476654,0.719149649143219,0.512557864189148,0.730439305305481,0.519866943359375,0.7357016205787659,0.4870929419994354,0.710267961025238,0.49800312519073486,0.73108971118927,0.5104556083679199,0.7429754734039307,0.5208891034126282,0.7489019632339478,0.48402953147888184,0.7234194874763489,0.49209529161453247,0.7383966445922852,0.5046038627624512,0.7472672462463379,0.5142570734024048,0.7533496618270874,0.4831099808216095,0.7342676520347595,0.4793335795402527,0.7462053298950195,0.48029232025146484,0.7529758810997009,0.4834681451320648,0.7592167854309082,0.4627957046031952,0.6796676516532898,0.47828859090805054,0.6679478883743286,0.491996705532074,0.6679510474205017,0.5046471953392029,0.675425112247467,0.5158411860466003,0.679131269454956,0.4925794005393982,0.6986214518547058,0.5091471672058105,0.7169478535652161,0.5178800821304321,0.725662350654602,0.5240858197212219,0.7314252853393555,0.4874488115310669,0.715092658996582,0.505852997303009,0.7327955365180969,0.5161417126655579,0.7405327558517456,0.5231590270996094,0.7443194389343262,0.48241177201271057,0.7266820073127747,0.49922022223472595,0.7447329163551331,0.5087789297103882,0.7509573698043823,0.5154917240142822,0.7524325251579285,0.47782573103904724,0.7339982390403748,0.49018678069114685,0.7510673999786377,0.4978733956813812,0.756209135055542,0.5047432780265808,0.7572563886642456
3,0.49308741092681885,0.7022578716278076,0.4969121515750885,0.6834489107131958,0.5015282034873962,0.6773235201835632,0.5097392201423645,0.6819872260093689,0.5158007740974426,0.687663197517395,0.4924143850803375,0.7001129388809204,0.5080495476722717,0.7187517881393433,0.519392192363739,0.7296838760375977,0.5262881517410278,0.7378162145614624,0.4868584871292114,0.7190271615982056,0.5041850209236145,0.7350859642028809,0.5168137550354004,0.74363774061203,0.5265031456947327,0.746584951877594,0.4834645986557007,0.7324279546737671,0.497175931930542,0.7442227602005005,0.5089061260223389,0.7496427893638611,0.517545223236084,0.7510176301002502,0.4821324050426483,0.7417762279510498,0.4850531220436096,0.7528499364852905,0.48888957500457764,0.7555736303329468,0.49260324239730835,0.7552068829536438,0.4638802707195282,0.680689811706543,0.47919055819511414,0.6685082912445068,0.49254319071769714,0.6679989695549011,0.504970133304596,0.6752387285232544,0.5159057974815369,0.6794552803039551,0.49265965819358826,0.6979929208755493,0.509361743927002,0.7166082859039307,0.5180537104606628,0.7250683307647705,0.524170994758606,0.7303611636161804,0.48767906427383423,0.714786171913147,0.506248950958252,0.7324509620666504,0.5165700912475586,0.7402552366256714,0.523536741733551,0.7439504861831665,0.4827697277069092,0.7266774773597717,0.49987244606018066,0.7443096041679382,0.5095334053039551,0.7507787942886353,0.5161809325218201,0.7523476481437683,0.47822457551956177,0.734187126159668,0.4909333288669586,0.7509281635284424,0.4985915422439575,0.7562273144721985,0.5052746534347534,0.7571492195129395
4,0.494451105594635,0.6896839141845703,0.4949837327003479,0.6910851001739502,0.4989543855190277,0.6974148154258728,0.5033692717552185,0.7068161964416504,0.5028418302536011,0.715670108795166,0.4925116300582886,0.7013649344444275,0.5062012672424316,0.7211199402809143,0.5164209008216858,0.7323122620582581,0.5233792066574097,0.7387767434120178,0.4883064031600952,0.7114959359169006,0.5048028826713562,0.7286430597305298,0.517100989818573,0.739348292350769,0.5252463817596436,0.7436245083808899,0.48588985204696655,0.718378484249115,0.49743881821632385,0.736076831817627,0.50877445936203,0.7441567182540894,0.5165264010429382,0.7470204830169678,0.48466286063194275,0.7247034907341003,0.48789340257644653,0.741671621799469,0.4931536316871643,0.748163640499115,0.4984407424926758,0.7512717843055725,0.4643724262714386,0.6819933652877808,0.4794088900089264,0.6692851185798645,0.492565780878067,0.6683950424194336,0.5049047470092773,0.6754216551780701,0.515676736831665,0.6798716187477112,0.49297991394996643,0.6985299587249756,0.5093622803688049,0.7165564894676208,0.518041729927063,0.7248599529266357,0.5241900086402893,0.7303379774093628,0.488151490688324,0.7150689959526062,0.5064420700073242,0.7319694757461548,0.516662061214447,0.7398383617401123,0.5235955119132996,0.7440961003303528,0.4832223653793335,0.7268444895744324,0.5000813007354736,0.7437998056411743,0.5096466541290283,0.7502859830856323,0.516243577003479,0.7523088455200195,0.4785155653953552,0.7344749569892883,0.49122610688209534,0.7507509589195251,0.4988531768321991,0.7559632658958435,0.5055176615715027,0.757047712802887
5,0.5082158446311951,0.6847314834594727,0.5076516270637512,0.6822975277900696,0.5051495432853699,0.6886675953865051,0.49992427229881287,0.7023515105247498,0.49373239278793335,0.7139738202095032,0.4926397204399109,0.6980011463165283,0.5003189444541931,0.7220080494880676,0.51185542345047,0.7331106066703796,0.5196219086647034,0.7390469908714294,0.48701924085617065,0.7109596133232117,0.4976479709148407,0.7298874855041504,0.5099815130233765,0.7416647672653198,0.5205708742141724,0.7473896741867065,0.4837151765823364,0.7200722098350525,0.4921836853027344,0.7355880737304688,0.5048869252204895,0.744391918182373,0.5147492289543152,0.7504194378852844,0.4822292625904083,0.7277683019638062,0.4804549217224121,0.7424659729003906,0.4835607409477234,0.749529242515564,0.48803797364234924,0.7549119591712952,0.4647665023803711,0.6825734376907349,0.47933831810951233,0.669388473033905,0.49254167079925537,0.6685495972633362,0.5050724148750305,0.6757007241249084,0.5160337090492249,0.6797519326210022,0.49324166774749756,0.6987439393997192,0.5093802809715271,0.7165148854255676,0.5180840492248535,0.7249101400375366,0.5243774652481079,0.7306153774261475,0.4884796738624573,0.7152931690216064,0.5065186619758606,0.7317053079605103,0.5168159008026123,0.7397160530090332,0.5237810611724854,0.7441414594650269,0.4835166335105896,0.7270174026489258,0.5002098083496094,0.7435651421546936,0.5097702145576477,0.7500061392784119,0.5163794159889221,0.7521067261695862,0.47868505120277405,0.7346413731575012,0.4914078414440155,0.7507681846618652,0.4989771544933319,0.7558646202087402,0.505627453327179,0.757003903388977
6,0.4970126450061798,0.697679877281189,0.49627718329429626,0.6893436312675476,0.4969916343688965,0.692882776260376,0.4992229640483856,0.7035301923751831,0.4977175295352936,0.7133234143257141,0.4916655123233795,0.7038421034812927,0.5065374970436096,0.723599910736084,0.5170729756355286,0.7346941232681274,0.5240088701248169,0.7424487471580505,0.48762765526771545,0.716019332408905,0.5040993094444275,0.7322524189949036,0.5168189406394958,0.7426643371582031,0.526669442653656,0.7474015951156616,0.48585331439971924,0.7254267930984497,0.49817878007888794,0.7396374344825745,0.508926272392273,0.7473491430282593,0.5172853469848633,0.750817596912384,0.4858192801475525,0.7329551577568054,0.4890453815460205,0.7468065023422241,0.49493733048439026,0.7511497139930725,0.5011793375015259,0.7539284229278564,0.4653416872024536,0.6829800009727478,0.47981008887290955,0.6698774695396423,0.49289461970329285,0.6691062450408936,0.5053104758262634,0.676236093044281,0.5161030888557434,0.6804924011230469,0.4933103919029236,0.6992024779319763,0.5093595385551453,0.7167332172393799,0.5180144906044006,0.7250577211380005,0.5243513584136963,0.7307888865470886,0.4885598123073578,0.7159101366996765,0.5065162777900696,0.7320151925086975,0.5168702006340027,0.7398695349693298,0.5238509774208069,0.7441755533218384,0.48364055156707764,0.7277100086212158,0.50030118227005,0.7440258860588074,0.5098322629928589,0.7503123879432678,0.5164075493812561,0.7523754239082336,0.47889289259910583,0.7353423237800598,0.49165910482406616,0.7511075139045715,0.49919068813323975,0.7559158802032471,0.5057439804077148,0.7568444609642029
7,0.5036923885345459,0.68673175573349,0.5061138272285461,0.6797386407852173,0.5054936408996582,0.6853238344192505,0.5022846460342407,0.6998142600059509,0.4975113868713379,0.7109871506690979,0.4927859306335449,0.6963675618171692,0.5022592544555664,0.720883846282959,0.513806939125061,0.7310388684272766,0.5209265351295471,0.7358272671699524,0.4872005581855774,0.7108225226402283,0.4999552071094513,0.7320694327354431,0.5122230648994446,0.7408229112625122,0.5222115516662598,0.7425581216812134,0.4833839535713196,0.7214453816413879,0.49429750442504883,0.7389212846755981,0.5068403482437134,0.7448578476905823,0.5163503885269165,0.7476403117179871,0.48125407099723816,0.7309925556182861,0.47922253608703613,0.7446910738945007,0.480861634016037,0.7521528005599976,0.48370954394340515,0.7579196095466614,0.46589967608451843,0.6836333274841309,0.4802612066268921,0.670205295085907,0.4930029809474945,0.6692802309989929,0.5053097009658813,0.6761637330055237,0.5159200429916382,0.6799270510673523,0.49367886781692505,0.699672520160675,0.5097033977508545,0.7165731191635132,0.5183573961257935,0.7249139547348022,0.5246974229812622,0.7306967973709106,0.48894256353378296,0.7160339951515198,0.5068511366844177,0.7317556738853455,0.5171804428100586,0.7397826910018921,0.5241999626159668,0.7441012859344482,0.48395413160324097,0.7277095317840576,0.5005309581756592,0.7437174916267395,0.5099928379058838,0.7501662969589233,0.5165528655052185,0.7522915005683899,0.4790084958076477,0.7354079484939575,0.4917895793914795,0.7511489987373352,0.49930286407470703,0.7560253143310547,0.5058594942092896,0.7568305730819702
8,0.4942522943019867,0.6995832324028015,0.49601179361343384,0.6881500482559204,0.5000594854354858,0.6897884011268616,0.5052909255027771,0.6981725096702576,0.5066667795181274,0.7068069577217102,0.49245235323905945,0.701535701751709,0.5069764852523804,0.7193390130996704,0.5179769396781921,0.7305636405944824,0.5254363417625427,0.7382392287254333,0.4875348210334778,0.7154904007911682,0.5048078298568726,0.7315972447395325,0.517864465713501,0.7426395416259766,0.5270276069641113,0.7474636435508728,0.48530739545822144,0.7265747785568237,0.4979768395423889,0.7399108409881592,0.5094073414802551,0.7478558421134949,0.5174865126609802,0.7510969042778015,0.48503297567367554,0.7360290884971619,0.4872174561023712,0.7485921382904053,0.4925331771373749,0.7516367435455322,0.4981100559234619,0.7527482509613037,0.4661702811717987,0.6841452717781067,0.48051977157592773,0.6708056330680847,0.4932309091091156,0.6697545051574707,0.505452036857605,0.6764568090438843,0.5160279273986816,0.6802533864974976,0.49339818954467773,0.6987860798835754,0.5093917846679688,0.7163602709770203,0.5180350542068481,0.7249346375465393,0.5244807600975037,0.7309004664421082,0.48852917551994324,0.7154977917671204,0.506565511226654,0.731863260269165,0.5169976353645325,0.7402249574661255,0.5240404605865479,0.7448161840438843,0.4836372137069702,0.7274793982505798,0.5004115700721741,0.7438952922821045,0.5100358128547668,0.7505102157592773,0.5166566371917725,0.7527854442596436,0.4789627492427826,0.7353488206863403,0.49186232686042786,0.7510176301002502,0.4994295537471771,0.7559612393379211,0.5059090852737427,0.7568225264549255
9,0.5145891308784485,0.6862967014312744,0.5109239220619202,0.6872338652610779,0.5051895380020142,0.6952701807022095,0.4971921145915985,0.7102442383766174,0.48967301845550537,0.7235187888145447,0.4920414984226227,0.7000206112861633,0.49927428364753723,0.7232937812805176,0.5118255019187927,0.7324780225753784,0.5204522609710693,0.737508237361908,0.4877382814884186,0.7119237184524536,0.4983328878879547,0.7309159636497498,0.5113269686698914,0.7405827045440674,0.5224747061729431,0.7439892292022705,0.48592302203178406,0.720779299736023,0.49423548579216003,0.7369449138641357,0.5075363516807556,0.7438879609107971,0.5179930925369263,0.7470139265060425,0.485827773809433,0.7289127707481384,0.4822266399860382,0.7428126335144043,0.48464927077293396,0.7495195269584656,0.48861509561538696,0.7544812560081482,0.4666024446487427,0.6846388578414917,0.4806690216064453,0.6710905432701111,0.4932582378387451,0.6700149774551392,0.5053803324699402,0.6766160726547241,0.5159635543823242,0.6800991892814636,0.493286669254303,0.6991600394248962,0.5094180107116699,0.7168599963188171,0.5181370973587036,0.725147008895874,0.5247057676315308,0.730819821357727,0.4883538782596588,0.7160032987594604,0.506510853767395,0.7321619391441345,0.5170982480049133,0.7401660084724426,0.5242003798484802,0.7444310188293457,0.48353326320648193,0.7280001640319824,0.5003841519355774,0.744276225566864,0.5101498365402222,0.7507081031799316,0.5169040560722351,0.7528415322303772,0.4789831340312958,0.7357323169708252,0.49195924401283264,0.7513352036476135,0.49962523579597473,0.7563201785087585,0.5062284469604492,0.7573020458221436
10,0.49866536259651184,0.7006826400756836,0.5020660758018494,0.6855036020278931,0.5048868060112,0.6833972930908203,0.5064106583595276,0.6918131709098816,0.5052965879440308,0.7004021406173706,0.493089497089386,0.6984694004058838,0.5083747506141663,0.7166749835014343,0.5189183354377747,0.7283084988594055,0.5245633125305176,0.7367397546768188,0.4877565801143646,0.7151455283164978,0.5038755536079407,0.7319731116294861,0.5166840553283691,0.742374837398529,0.5265393257141113,0.7471545934677124,0.48514559864997864,0.728801429271698,0.4986320734024048,0.7421039938926697,0.5101684331893921,0.7479808330535889,0.5191242694854736,0.750516414642334,0.48414695262908936,0.7400414347648621,0.49116072058677673,0.7518224716186523,0.4991254210472107,0.7523636817932129,0.5061882734298706,0.7508138418197632,0.4668024778366089,0.6847012042999268,0.4808357357978821,0.6711674928665161,0.4935154318809509,0.6701523661613464,0.5056626200675964,0.6766980886459351,0.5161660313606262,0.6801082491874695,0.49331584572792053,0.6990785002708435,0.5096833109855652,0.7166281342506409,0.5185621976852417,0.7250818610191345,0.5253135561943054,0.731048047542572,0.4883441627025604,0.7156866788864136,0.5066006183624268,0.7315257787704468,0.5173236727714539,0.7397050857543945,0.5245729088783264,0.7442249655723572,0.48343443870544434,0.7275583148002625,0.5003519058227539,0.7437464594841003,0.5101792812347412,0.7504410743713379,0.516884446144104,0.7527750730514526,0.47877582907676697,0.7352350950241089,0.4917534589767456,0.7510428428649902,0.4994843900203705,0.7561408877372742,0.5061697959899902,0.757144570350647
